,CA_Sol_JC_PJ69_1,CA_Sol_JC_PJ69_3,CA_Sol_JC_PJ69_4,CA_Sol_JC_PJ69_5,CA_Sol_JC_PJ69_6,CA_Sol_JC_PJ69_8,CA_Sol_JC_PJ69_9,CA_Sol_JC_PJ70_1,CA_Sol_JC_PJ70_11,CA_Sol_JC_PJ70_7,CA_Sol_JC_PJ70_8,CA_Sol_JC_PJ70_9
CA_Sol_JC_PJ69_1,0,0.637909372,1.060871961,0,0,1.272165035,1.15904464,1.233254642,1.250885228,0,0.9995708,1.006804739
CA_Sol_JC_PJ69_3,0.637909372,0,0.712017345,0,0,1.096879185,0.772449696,0.805837704,0.964373742,0,0.650716184,0.834619667
CA_Sol_JC_PJ69_4,1.060871961,0.712017345,0,0,0,1.020850607,0.887110924,0.673638854,1.587357465,0,0.894210284,1.118030375
CA_Sol_JC_PJ69_5,1.689896647,1.655845085,1.756719099,0,0,1.61396808,1.830120934,1.928345157,1.892794769,0,1.62220963,1.677636587
CA_Sol_JC_PJ69_6,1.689896647,1.655845085,1.756719099,0,0,1.61396808,1.830120934,1.928345157,1.892794769,0,1.62220963,1.677636587
CA_Sol_JC_PJ69_8,1.272165035,1.096879185,1.020850607,0,0,0,1.406705358,1.400872653,1.452025931,0,1.01670786,1.020850607
CA_Sol_JC_PJ69_9,1.15904464,0.772449696,0.887110924,0,0,1.406705358,0,0.72813647,0.612235663,0,1.305382843,1.098420018
CA_Sol_JC_PJ70_1,1.233254642,0.805837704,0.673638854,0,0,1.400872653,0.72813647,0,1.459635554,0,1.305484874,0.827789534
CA_Sol_JC_PJ70_11,1.250885228,0.964373742,1.587357465,0,0,1.452025931,0.612235663,1.459635554,0,0,2.036881927,1.181892356
CA_Sol_JC_PJ70_7,1.689896647,1.655845085,1.756719099,0,0,1.61396808,1.830120934,1.928345157,1.892794769,0,1.62220963,1.677636587
CA_Sol_JC_PJ70_8,0.9995708,0.650716184,0.894210284,0,0,1.01670786,1.305382843,1.305484874,2.036881927,0,0,0.711888727
CA_Sol_JC_PJ70_9,1.006804739,0.834619667,1.118030375,0,0,1.020850607,1.098420018,0.827789534,1.181892356,0,0.711888727,0
