,UT_Ca_JN_PJ10_10,UT_Ca_JN_PJ10_17,UT_Ca_JN_PJ10_20,UT_Ca_JN_PJ10_4,UT_Ca_JN_PJ10_7,UT_Ca_JN_PJ9_12,UT_Ca_JN_PJ9_16,UT_Ca_JN_PJ9_19,UT_Ca_JN_PJ9_21,UT_Ca_JN_PJ9_22,UT_Ca_JN_PJ9_23,UT_Ca_JN_PJ9_5
UT_Ca_JN_PJ10_10,0,0,2.338838438,1.722766598,0,1.963455809,0.559615788,0,0.594792033,1.349240375,1.169476369,1.047165077
UT_Ca_JN_PJ10_17,1.900258278,0,1.770424795,1.97638914,0,2.225983782,1.93806332,0,1.845628456,2.107463353,2.125749518,1.998487107
UT_Ca_JN_PJ10_20,2.338838438,0,0,1.550381078,0,1.480915361,1.868834809,0,1.770479662,1.272165035,1.680187694,1.768597433
UT_Ca_JN_PJ10_4,1.722766598,0,1.550381078,0,0,0.71069284,1.540445041,0,1.362047186,0.897255251,0.727643616,1.209684007
UT_Ca_JN_PJ10_7,1.900258278,0,1.770424795,1.97638914,0,2.225983782,1.93806332,0,1.845628456,2.107463353,2.125749518,1.998487107
UT_Ca_JN_PJ9_12,1.963455809,0,1.480915361,0.71069284,0,0,1.047165077,0,1.171953481,0.870349149,0.439807627,1.064710737
UT_Ca_JN_PJ9_16,0.559615788,0,1.868834809,1.540445041,0,1.047165077,0,0,0.631159678,1.349240375,0.881794296,0.86484352
UT_Ca_JN_PJ9_19,1.900258278,0,1.770424795,1.97638914,0,2.225983782,1.93806332,0,1.845628456,2.107463353,2.125749518,1.998487107
UT_Ca_JN_PJ9_21,0.594792033,0,1.770479662,1.362047186,0,1.171953481,0.631159678,0,0,0.9995708,1.188904257,1.236492002
UT_Ca_JN_PJ9_22,1.349240375,0,1.272165035,0.897255251,0,0.870349149,1.349240375,0,0.9995708,0,0.931751687,0.870349149
UT_Ca_JN_PJ9_23,1.169476369,0,1.680187694,0.727643616,0,0.439807627,0.881794296,0,1.188904257,0.931751687,0,1.592487137
UT_Ca_JN_PJ9_5,1.047165077,0,1.768597433,1.209684007,0,1.064710737,0.86484352,0,1.236492002,0.870349149,1.592487137,0
